,quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
0,2024Q1,A,Medical - Diagnostics & Research,Healthcare,0.2333759590792838,42634430000.0,144.2,0.146459458563902,0.008252427184466,323
1,2024Q2,A,Medical - Diagnostics & Research,Healthcare,0.235445836403832,37592700000.0,128.67,0.1648262308718416,0.0081604103520634,334
2,2024Q3,A,Medical - Diagnostics & Research,Healthcare,0.2666424154237904,43059200000.0,147.66,0.1378516349301984,0.0065691453338751,309
3,2024Q4,A,Medical - Diagnostics & Research,Healthcare,0.2861725476954246,38421240000.0,134.06,0.1517076759248303,0.0090258093391018,350
19,2024Q1,AAPL,Consumer Electronics,Technology,0.3099780386531559,2641796186880.0,170.45,0.028254390682044,0.0089762393663831,2
20,2024Q2,AAPL,Consumer Electronics,Technology,0.3054895480260063,3219857673020.0,209.64,0.0208145344876575,0.0066781148635756,2
21,2024Q3,AAPL,Consumer Electronics,Technology,0.3262069154474217,3514041692000.0,232.18,0.0161668859200431,0.0041777930915668,1
22,2024Q4,AAPL,Consumer Electronics,Technology,0.2813229289274452,3754818014440.0,249.82,0.0177184253981262,0.0096469458009767,1
31,2024Q1,ABBV,Drug Manufacturers - General,Healthcare,0.4970713489259373,322134900000.0,174.09,0.0259996900299225,0.0044229995979091,30
32,2024Q2,ABBV,Drug Manufacturers - General,Healthcare,0.497643320628166,303418880000.0,165.51,0.0231499199128213,0.0047127061808954,31
33,2024Q3,ABBV,Drug Manufacturers - General,Healthcare,0.4955934236030734,349934560000.0,192.31,0.0177309347697663,0.0045759450886589,27
34,2024Q4,ABBV,Drug Manufacturers - General,Healthcare,0.4967705181228313,314351300000.0,174.43,0.0107756291371326,-0.0001037665539184,31
51,2024Q1,ABNB,Travel Services,Consumer Cyclical,0.08366956025594,105244480000.0,164.96,0.0750253124914484,0.0024854510184287,126
52,2024Q2,ABNB,Travel Services,Consumer Cyclical,0.0863981762917933,96285050000.0,151.63,0.0831073982928814,0.0058036008705401,136
53,2024Q3,ABNB,Travel Services,Consumer Cyclical,0.1018852606891575,79002630000.0,126.81,0.1060773127147431,0.0171122151249901,170
54,2024Q4,ABNB,Travel Services,Consumer Cyclical,0.1094517868218903,81605610000.0,131.41,0.1027502298505052,0.0056312304999619,166
59,2024Q1,ABT,Medical - Devices,Healthcare,0.2012778230090938,197095118850.0,110.88,0.2018469578362347,0.0064033189033189,53
60,2024Q2,ABT,Medical - Devices,Healthcare,0.2020625333826369,180187874359.0,101.87,0.2225752628749316,0.0073623245312653,62
61,2024Q3,ABT,Medical - Devices,Healthcare,0.2014497821292162,197430887953.0,112.36,0.2042040823916663,0.0084549661801352,57
62,2024Q4,ABT,Medical - Devices,Healthcare,0.1845014370992704,197628054200.0,112.0,0.245753838592649,0.0475892857142857,56
119,2024Q1,ACN,Information Technology Services,Technology,0.061561814262878,217793525874.0,339.24,0.1271060550637496,0.0078410564791887,45
120,2024Q2,ACN,Information Technology Services,Technology,0.0849913353607066,192143383764.0,298.11,0.1481140673949236,0.0103317567340914,55
121,2024Q3,ACN,Information Technology Services,Technology,0.0736702112871576,221164278388.0,348.83,0.1280568424014892,0.0076254909268124,48
122,2024Q4,ACN,Information Technology Services,Technology,0.1360724840470053,220510747753.0,348.57,0.1338447425938368,0.0104426657486301,44
124,2024Q2,ACON,Medical - Healthcare Information Services,Healthcare,0.2515804573978226,21249717085.0,2586.06,7.727994652339142e-05,-5.800329458713255e-05,499
136,2024Q1,ADBE,Software - Infrastructure,Technology,0.1421167959375326,226565400000.0,504.6,0.0676338393184469,0.0027150217994451,41
137,2024Q2,ADBE,Software - Infrastructure,Technology,0.2029526443829773,247215299999.0,555.54,0.0595058977909733,0.0063001764049393,39
138,2024Q3,ADBE,Software - Infrastructure,Technology,0.2037546094535702,231447660000.0,517.78,0.0631260250655239,0.0073003978523697,45
139,2024Q4,ADBE,Software - Infrastructure,Technology,0.2003307972213033,193880480000.0,444.68,0.070960712969777,0.008478006656472,59
148,2024Q1,ADI,Semiconductors,Technology,0.1444649906638904,98129552700.0,194.56,0.3685417065604884,0.0047800164473684,139
149,2024Q2,ADI,Semiconductors,Technology,0.1649405139430922,113294111880.0,225.43,0.3151312598540338,0.0027059397595705,117
150,2024Q3,ADI,Semiconductors,Technology,0.1666533932212541,114202528220.0,228.21,0.3106765077527279,0.0034617238508391,117
151,2024Q4,ADI,Semiconductors,Technology,0.1572041854201011,105404805360.0,211.54,0.3351435500239891,-0.0110144653493429,126
153,2024Q1,ADM,Agricultural Farm Products,Consumer Defensive,0.2058689427513632,31530620000.0,59.9,0.7721700842705971,0.0242070116861435,400
154,2024Q2,ADM,Agricultural Farm Products,Consumer Defensive,0.2253595961896087,29978265285.0,58.12,0.7684200991557341,0.0168616655196145,397
155,2024Q3,ADM,Agricultural Farm Products,Consumer Defensive,0.2174179581984329,28555720000.0,57.93,0.7869706821725748,0.0006904885206283,413
156,2024Q4,ADM,Agricultural Farm Products,Consumer Defensive,0.2165906403108633,24148560000.0,49.45,0.9378477055137898,0.0240647118301314,469
165,2024Q1,ADP,Staffing & Employment Services,Industrials,0.0528983384646066,102518270000.0,244.48,0.0461014772560598,0.0118210078534031,132
166,2024Q2,ADP,Staffing & Employment Services,Industrials,0.0698751165780949,97600341000.0,235.01,0.0473237122257505,0.0086379303008382,134
167,2024Q3,ADP,Staffing & Employment Services,Industrials,0.1751758180944186,112795148000.0,273.84,0.0478839014763704,0.0085451358457493,120
168,2024Q4,ADP,Staffing & Employment Services,Industrials,0.0585958403474749,119111837000.0,291.18,0.0427863788108364,0.0081049522632048,114
169,2024Q1,ADSK,Software - Application,Technology,0.2716908797417272,55990300000.0,260.42,0.0332855552533039,0.0050687351201904,241
170,2024Q2,ADSK,Software - Application,Technology,0.2726347914547304,53449200000.0,247.45,0.0406189646017283,0.0047282279248333,242
171,2024Q3,ADSK,Software - Application,Technology,0.2680722891566265,59228200000.0,275.48,0.0415772604316237,0.0047553361405546,227
172,2024Q4,ADSK,Software - Application,Technology,0.2544162636928846,63251980000.0,295.57,0.0411660244966171,0.0043306154210508,224
185,2024Q3,AEE,Regulated Electric,Utilities,0.4217515820592175,23386804000.0,86.2,0.5149054084866924,0.0198375870069605,478
186,2024Q4,AEE,Regulated Electric,Utilities,0.0327368940311224,24067800000.0,88.5,0.5118973669865496,0.0087005649717514,470
203,2024Q1,AEP,Regulated Electric,Utilities,0.4520955633354681,45336130299.0,82.17,0.5963767011092534,0.0232444931240111,303
204,2024Q2,AEP,Regulated Electric,Utilities,0.4450797309044333,46405582115.0,84.56,0.5843704662067521,0.0075685903500473,280
205,2024Q3,AEP,Regulated Electric,Utilities,0.4416859520311309,54387508147.0,99.78,0.5012334178406859,0.0180396873120865,246
