quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
2024Q1,A,Medical - Diagnostics & Research,Healthcare,0.2333759590792838,42634430000.0,144.2,0.146459458563902,0.008252427184466,323
2024Q2,A,Medical - Diagnostics & Research,Healthcare,0.235445836403832,37592700000.0,128.67,0.1648262308718416,0.0081604103520634,334
2024Q3,A,Medical - Diagnostics & Research,Healthcare,0.2666424154237904,43059200000.0,147.66,0.1378516349301984,0.0065691453338751,309
2024Q4,A,Medical - Diagnostics & Research,Healthcare,0.2861725476954246,38421240000.0,134.06,0.1517076759248303,0.0090258093391018,350
2024Q1,AA,Aluminum,Basic Materials,0.1778336125069793,6058052280.0,33.3,0.6689890385301343,-0.0423423423423423,1146
2024Q2,AA,Aluminum,Basic Materials,0.178094638987908,7160400000.0,39.29,0.5513135940725659,0.0027996945787732,1001
2024Q3,AA,Aluminum,Basic Materials,0.2016916517672947,9967377026.0,38.23,0.5798238736933377,0.0102014125032696,844
2024Q4,AA,Aluminum,Basic Materials,0.1809456096693921,9760692173.0,37.53,0.5320694217538471,0.0205169197974953,868
2024Q1,AAL,"Airlines, Airports & Air Services",Industrials,0.6222042743538767,10067251450.0,15.35,-0.5463258792448261,-0.0312703583061889,848
2024Q2,AAL,"Airlines, Airports & Air Services",Industrials,0.7162417153996101,7443413450.0,11.33,-0.637610691906413,0.0962047661076787,978
2024Q3,AAL,"Airlines, Airports & Air Services",Industrials,0.6166257398312555,7384286600.0,11.24,-0.6568828241862621,-0.0204626334519572,1024
2024Q4,AAL,"Airlines, Airports & Air Services",Industrials,0.6076752504734312,11458900320.0,17.43,-0.347292559080612,0.0516351118760757,783
2024Q1,AAON,Construction,Industrials,0.0180035910636873,7194419733.0,87.76,0.1095082764462572,0.0054694621695533,1034
2024Q2,AAON,Construction,Industrials,0.099156439593318,7135515934.0,87.0,0.1040626578320697,0.0073563218390804,1007
2024Q3,AAON,Construction,Industrials,0.0696305639781685,8772270250.0,107.65,0.0912853991492673,0.0060380863910822,915
2024Q4,AAON,Construction,Industrials,0.0157253789458099,9572707372.0,117.54,0.0862414481306017,0.0025523226135783,879
2024Q2,AAP,Specialty Retail,Consumer Cyclical,0.5056607964357341,3776557890.0,61.82,0.6965607495979577,0.0108379165318667,1412
2024Q3,AAP,Specialty Retail,Consumer Cyclical,0.4997650084956589,2327079160.0,38.22,1.1437270021323434,0.0196232339089481,1800
2024Q4,AAP,Specialty Retail,Consumer Cyclical,0.341386255686065,2825246470.0,46.66,0.7784242634541084,-0.1487355336476639,1681
2024Q1,AAPL,Consumer Electronics,Technology,0.3099780386531559,2641796186880.0,170.45,0.028254390682044,0.0089762393663831,2
2024Q2,AAPL,Consumer Electronics,Technology,0.3054895480260063,3219857673020.0,209.64,0.0208145344876575,0.0066781148635756,2
2024Q3,AAPL,Consumer Electronics,Technology,0.3262069154474217,3514041692000.0,232.18,0.0161668859200431,0.0041777930915668,1
2024Q4,AAPL,Consumer Electronics,Technology,0.2813229289274452,3754818014440.0,249.82,0.0177184253981262,0.0096469458009767,1
2024Q1,AB,Asset Management,Financial Services,0.0,3984816960.0,31.06,0.5801923764559381,0.0215711526078557,1402
2024Q2,AB,Asset Management,Financial Services,0.0,3875848160.0,30.89,0.5867771282259094,0.0320492068630624,1398
2024Q3,AB,Asset Management,Financial Services,0.0,4013536260.0,32.57,0.56487195973353,0.0343874731347866,1407
2024Q4,AB,Asset Management,Financial Services,0.0,4229817780.0,35.35,0.5040109419475646,0.026025459688826,1382
2024Q1,ABBV,Drug Manufacturers - General,Healthcare,0.4970713489259373,322134900000.0,174.09,0.0259996900299225,0.0044229995979091,30
2024Q2,ABBV,Drug Manufacturers - General,Healthcare,0.497643320628166,303418880000.0,165.51,0.0231499199128213,0.0047127061808954,31
2024Q3,ABBV,Drug Manufacturers - General,Healthcare,0.4955934236030734,349934560000.0,192.31,0.0177309347697663,0.0045759450886589,27
2024Q4,ABBV,Drug Manufacturers - General,Healthcare,0.4967705181228313,314351300000.0,174.43,0.0107756291371326,-0.0001037665539184,31
2024Q1,ABG,Auto - Dealerships,Consumer Cyclical,0.5079208409416177,4786334000.0,235.78,0.6992616896355333,0.0307490033081686,1296
2024Q2,ABG,Auto - Dealerships,Consumer Cyclical,0.5127595575392975,4580187000.0,227.87,0.7271973829889478,0.0061438539518146,1299
2024Q3,ABG,Auto - Dealerships,Consumer Cyclical,0.500412833215381,4795659000.0,238.59,0.7153703132808805,0.0268661720943878,1299
2024Q4,ABG,Auto - Dealerships,Consumer Cyclical,0.530086098481184,4787691000.0,243.03,0.7241077212586405,0.0270336995432662,1300
2024Q1,ABLLL,Insurance - Life,Financial Services,0.4992316084597714,1593328778.0,22.45,0.1167054431127419,-0.0009532293986636,2093
2024Q2,ABLLL,Insurance - Life,Financial Services,0.4119306675210826,1628715796.0,23.21,0.1732745539906716,0.000521327014218,2054
2024Q3,ABLLL,Insurance - Life,Financial Services,0.3823870150342471,1695115813.0,24.76,0.1632249983599323,-0.0032431340872374,2018
2024Q4,ABLLL,Insurance - Life,Financial Services,0.4414658153592539,2149062082.0,32.12,0.1614648824590841,-0.0090286425902864,1871
2024Q1,ABM,Specialty Business Services,Industrials,0.2997134439197643,2824446000.0,43.54,0.6592544099190173,0.0160771704180064,1665
2024Q2,ABM,Specialty Business Services,Industrials,0.2888731108631707,3190967000.0,49.6,0.5871935993477042,0.0139112903225806,1548
2024Q3,ABM,Specialty Business Services,Industrials,0.2948773906832791,3334432000.0,51.98,0.5594617947046561,0.0014332435552135,1551
2024Q4,ABM,Specialty Business Services,Industrials,0.2849407517852939,3208986000.0,50.64,0.5567345571619974,-0.0037519747235387,1591
2024Q1,ABNB,Travel Services,Consumer Cyclical,0.08366956025594,105244480000.0,164.96,0.0750253124914484,0.0024854510184287,126
2024Q2,ABNB,Travel Services,Consumer Cyclical,0.0863981762917933,96285050000.0,151.63,0.0831073982928814,0.0058036008705401,136
2024Q3,ABNB,Travel Services,Consumer Cyclical,0.1018852606891575,79002630000.0,126.81,0.1060773127147431,0.0171122151249901,170
2024Q4,ABNB,Travel Services,Consumer Cyclical,0.1094517868218903,81605610000.0,131.41,0.1027502298505052,0.0056312304999619,166
2024Q1,ABT,Medical - Devices,Healthcare,0.2012778230090938,197095118850.0,110.88,0.2018469578362347,0.0064033189033189,53
2024Q2,ABT,Medical - Devices,Healthcare,0.2020625333826369,180187874359.0,101.87,0.2225752628749316,0.0073623245312653,62
2024Q3,ABT,Medical - Devices,Healthcare,0.2014497821292162,197430887953.0,112.36,0.2042040823916663,0.0084549661801352,57
2024Q4,ABT,Medical - Devices,Healthcare,0.1845014370992704,197628054200.0,112.0,0.245753838592649,0.0475892857142857,56
2024Q1,ACA,Industrial - Infrastructure Operations,Industrials,0.1732777187099588,4172796000.0,85.61,0.5717127659958792,0.0094615115056652,1374
2024Q2,ACA,Industrial - Infrastructure Operations,Industrials,0.192573334383781,4045385000.0,83.22,0.5971083636708887,0.0112953616919009,1371
2024Q3,ACA,Industrial - Infrastructure Operations,Industrials,0.2838945121531364,4605336000.0,94.6,0.5283458721689943,0.0035940803382663,1334
2024Q4,ACA,Industrial - Infrastructure Operations,Industrials,0.3435866137727596,4711238000.0,96.63,0.5159926483478864,-0.0016558004760426,1313
2024Q1,ACAD,Biotechnology,Healthcare,0.12727238706916,3047373879.0,18.49,0.1522896237766568,0.0054083288263926,1606
2024Q2,ACAD,Biotechnology,Healthcare,0.11469436023888,2677967500.0,16.25,0.192067236542957,0.0123076923076923,1694
2024Q3,ACAD,Biotechnology,Healthcare,0.0505390697617283,2546174380.0,15.38,0.2261074528993472,0.0130039011703511,1740
2024Q4,ACAD,Biotechnology,Healthcare,0.043775826011403,3045622900.0,18.35,0.2397947784744498,0.0474114441416893,1627
