date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,ticker
2025-03-31,EXPD,USD,0000746515,2025-05-08,2025-05-08 11:38:01,2025,Q1,1318520000,0,1318520000,1904171000,0,417913000,3640604000,1022486000,7927000,0,7927000,0,70126000,15507000,1116046000,0,4756650000,1047374000,109455000.0,33261000,359508000,440646000,1990244000,478903000,0,0,0,478903000,0,588358000,2469147000,0.0,1368000,2504222000,-219799000.0,0.0,2285791000,2287503000,4756650000,1712000,4756650000,0,588358000.0,-730162000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017025066562/0000950170-25-066562-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017025066562/expd-20250331.htm,EXPD
2024-12-31,EXPD,USD,0000746515,2025-02-21,2025-02-21 14:40:47,2024,Q4,1148320000,0,1148320000,1997840000,0,513615000,3659775000,1001056000,7927000,0,7927000,0,70671000,15029000,1094683000,0,4881216000,1036749000,213472000.0,29140000,441927000,903842000,2066473000,462201000,0,0,0,462201000,0,568937000,2528674000,0.0,1380000,2455132000,-233500000.0,0.0,2223012000,2225784000,4754458000,2772000,4754458000,0,568937000.0,-579383000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017025024750/0000950170-25-024750-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017025024750/expd-20241231.htm,EXPD
2024-09-30,EXPD,USD,0000746515,2024-11-05,2024-11-05 16:18:13,2024,Q3,1293173000,0,1293173000,2176959000,0,612913000,4083045000,994404000,7927000,0,7927000,0,69789000,15752000,1087872000,0,5170917000,1240174000,213664000.0,25728000,532289000,257059000,2375746000,436001000,0,0,0,436001000,0,542833000,2811747000,0.0,1400000,2540978000,-189978000.0,4307000.0,2356707000,2359170000,5170917000,2463000,5170917000,431640000,542833000.0,-750340000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017024121496/0000950170-24-121496-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024121496/expd-20240930.htm,EXPD
2024-06-30,EXPD,USD,0000746515,2024-08-08,2024-08-08 12:13:40,2024,Q2,1271853000,0,1271853000,1843894000,0,185766000,3301513000,998608000,7927000,0,7927000,0,69646000,410647000,1486828000,0,4788341000,1073476000,208084000.0,21904000,474507000,278905000,2160918000,448996000,0,0,0,448996000,0,553038000,2609914000,0.0,1406000,2385740000,-218457000.0,7732000.0,2176421000,2178427000,4788341000,2006000,4788341000,0,553038000.0,-718815000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017024093558/0000950170-24-093558-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024093558/expd-20240630.htm,EXPD
2024-03-31,EXPD,USD,0000746515,2024-05-09,2024-05-09 11:40:39,2024,Q1,1370456000,0,1370456000,1572356000,0,153111000,3095923000,1021737000,7927000,0,7927000,0,64408000,298273000,1392345000,0,4488268000,927129000,201346000.0,20388000,344552000,232253000,1826341000,464262000,0,0,0,464262000,0,564935000,2290603000,0.0,1411000,2401525000,-207474000.0,0.0,2195462000,2197665000,4488268000,2203000,4488268000,0,564935000.0,-805521000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017024056466/0000950170-24-056466-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024056466/expd-20240331.htm,EXPD
2023-12-31,EXPD,USD,0000746515,2024-02-23,2024-02-23 16:18:45,2023,Q4,1512883000,0,1512883000,1532599000,0,170907000,3216389000,995505000,7927000,0,7927000,0,63690000,240298000,1307420000,0,4523809000,860856000,99749000.0,15562000,280909000,447336000,1704412000,427984000,0,99597000,0,427984000,0,527733000,2132396000,0.0,1439000,2580968000,-192057000.0,0.0,2390350000,2391413000,4523809000,1063000,4523809000,0,527733000.0,-985150000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017024019394/0000950170-24-019394-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024019394/expd-20231231.htm,EXPD
2023-09-30,EXPD,USD,0000746515,2023-11-08,2023-11-08 16:21:03,2023,Q3,1639428000,0,1639428000,1458983000,223768000,413505000,3511916000,987905000,7927000,0,7927000,0,50796000,19577000,1066205000,0,4578121000,846461000,199752000.0,13226000,283797000,223933000,1667045000,419602000,0,0,0,419602000,0,519478000,2086647000,0.0,1454000,2701386000,-213060000.0,0.0,2489780000,2491474000,4578121000,1694000,4578121000,0,519478000.0,-1119950000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017023061159/0000950170-23-061159-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023061159/expd-20230930.htm,EXPD
2023-06-30,EXPD,USD,0000746515,2023-08-08,2023-08-08 16:18:16,2023,Q2,1698587000,0,1698587000,1423622000,175723000,360337000,3482546000,1009497000,7927000,0,7927000,0,43550000,20520000,1081494000,0,4564040000,815514000,199924000.0,22936000,218561000,222210000,1579107000,426829000,0,0,0,426829000,0,526791000,2005936000,0.0,1472000,2752461000,-198001000.0,0.0,2555932000,2558104000,4564040000,2172000,4564040000,0,526791000.0,-1171796000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017023039847/0000950170-23-039847-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023039847/expd-20230630.htm,EXPD
2023-03-31,EXPD,USD,0000746515,2023-05-04,2023-05-04 11:52:17,2023,Q1,2350794000,0,2350794000,1604467000,0,301750000,4257011000,1009501000,7927000,0,7927000,0,38093000,20045000,1075566000,0,5332577000,950907000,98469000.0,33197000,244667000,432816000,1760056000,422153000,0,0,0,422153000,0,520622000,2182209000,0.0,1527000,3336140000,-190498000.0,0.0,3147169000,3150368000,5332577000,3199000,5332577000,0,520622000.0,-1830172000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017023017600/0000950170-23-017600-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023017600/expd-20230331.htm,EXPD
2022-12-31,EXPD,USD,0000746515,2023-03-01,2023-03-01 12:48:18,2022,Q4,2034131000,0,2034131000,2107645000,257545000,376241000,4518017000,1009419000,7927000,0,7927000,0,37449000,17622000,1072417000,0,5590434000,1108996000,95621000.0,47075000,323101000,479262000,2054055000,422844000,0,105217000,0,422844000,0,518465000,2476899000,0.0,1543000,3310892000,-202553000.0,139000.0,3110021000,3113535000,5590434000,3514000,5590434000,0,518465000.0,-1515666000.0,https://www.sec.gov/Archives/edgar/data/746515/000095017023005412/0000950170-23-005412-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023005412/expd-20221231.htm,EXPD
