date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,ticker
2025-03-31,EXPD,USD,0000746515,2025-05-08,2025-05-08 11:38:01,2025,Q1,204099000,14604000,76000,11549000,109242000,108149000,0,-18419000,19512000,3052000,342622000,-13152000,0,0,0,156000,-12996000,195000,13043000,-177354000,0,-1855000,-165971000,6545000,170200000,1318520000,1148320000,342622000,-13152000,329470000,https://www.sec.gov/Archives/edgar/data/746515/000095017025066562/0000950170-25-066562-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017025066562/expd-20250331.htm,EXPD
2024-12-31,EXPD,USD,0000746515,2025-02-21,2025-02-21 14:40:47,2024,Q4,235878000,15176000,542000,10563000,-13286000,116178000,0,-143508000,14044000,-5400000,249716000,-10051000,0,0,0,5000,-10046000,-14520000,1523000,-252206000,-101449000,0,-366652000,-17871000,-144853000,1148320000,1293173000,249716000,-10051000,239665000,https://www.sec.gov/Archives/edgar/data/746515/000095017025024750/0000950170-25-024750-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017025024750/expd-20241231.htm,EXPD
2024-09-30,EXPD,USD,0000746515,2024-11-05,2024-11-05 16:18:13,2024,Q3,229926000,15774000,-1057000,9760000,-164011000,348083000,0,107535000,-619629000,-420000,89972000,-12291000,0,0,0,-225000,-12516000,10445000,53256000,-140031000,0,0,-76330000,20194000,21320000,1293173000,1271853000,89972000,-12291000,77681000,https://www.sec.gov/Archives/edgar/data/746515/000095017024121496/0000950170-24-121496-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024121496/expd-20240930.htm,EXPD
2024-06-30,EXPD,USD,0000746515,2024-08-08,2024-08-08 12:13:40,2024,Q2,175469000,14979000,-6917000,25704000,-85677000,-286085000,0,211692000,-11284000,133266000,126769000,-7943000,0,0,0,66000,-7877000,1259000,6449000,-102300000,-102638000,-10163000,-207393000,-10102000,-98603000,1271853000,1370456000,126769000,-7943000,118826000,https://www.sec.gov/Archives/edgar/data/746515/000095017024093558/0000950170-24-093558-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024093558/expd-20240630.htm,EXPD
2024-03-31,EXPD,USD,0000746515,2024-05-09,2024-05-09 11:40:39,2024,Q1,169152000,15161000,2294000,12372000,54298000,-60542000,0,83591000,31249000,23272000,256904000,-10181000,0,0,0,97000,-10084000,-17242000,8029000,-360524000,0,-5185000,-374922000,-14325000,-142427000,1370456000,1512883000,256904000,-10181000,246723000,https://www.sec.gov/Archives/edgar/data/746515/000095017024056466/0000950170-24-056466-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024056466/expd-20240331.htm,EXPD
2023-12-31,EXPD,USD,0000746515,2024-02-23,2024-02-23 16:18:45,2023,Q4,158719000,21386000,-14974000,11437000,-22333000,-55481000,97834000,11645000,21503000,4118000,158353000,-10714000,0,0,0,90000,-10624000,739000,4584000,-193592000,-99766000,-1094000,-289129000,14855000,-126545000,1512883000,1639428000,158353000,-10714000,147639000,https://www.sec.gov/Archives/edgar/data/746515/000095017024019394/0000950170-24-019394-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024019394/expd-20231231.htm,EXPD
2023-09-30,EXPD,USD,0000746515,2023-11-08,2023-11-08 16:21:03,2023,Q3,170843000,15607000,-6418000,15879000,-10015000,-53722000,-4017000,40919000,6805000,4084000,189980000,-7993000,0,0,0,10000,-7983000,6913000,61841000,-298103000,0,0,-229349000,-11807000,-59159000,1639428000,1698587000,189980000,-7993000,181987000,https://www.sec.gov/Archives/edgar/data/746515/000095017023061159/0000950170-23-061159-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023061159/expd-20230930.htm,EXPD
2023-06-30,EXPD,USD,0000746515,2023-08-08,2023-08-08 16:18:16,2023,Q2,195793000,15506000,-3560000,18595000,-70285000,174321000,-93817000,-149986000,-803000,2397000,158446000,-10481000,0,0,0,-794000,-11275000,1311000,9176000,-687689000,-102263000,-12056000,-791521000,-7857000,-652207000,1698587000,2350794000,158446000,-10481000,147965000,https://www.sec.gov/Archives/edgar/data/746515/000095017023039847/0000950170-23-039847-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023039847/expd-20230630.htm,EXPD
2023-03-31,EXPD,USD,0000746515,2023-05-04,2023-05-04 11:52:17,2023,Q1,225998000,15261000,2036000,12488000,288398000,508606000,0,-202923000,-17285000,2231000,546412000,-10126000,0,0,0,575000,-9551000,-14907000,9288000,-213502000,0,-7445000,-226566000,6368000,316663000,2350794000,2034131000,546412000,-10126000,536286000,https://www.sec.gov/Archives/edgar/data/746515/000095017023017600/0000950170-23-017600-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023017600/expd-20230331.htm,EXPD
2022-12-31,EXPD,USD,0000746515,2023-03-01,2023-03-01 12:48:18,2022,Q4,214737000,14922000,-18312000,13101000,260010000,711977000,0,-454221000,2254000,2241000,486699000,-18326000,0,0,0,-245000,-18571000,24523000,7662000,-563802000,-103971000,-1404000,-636992000,48461000,-120403000,2034131000,2154534000,486699000,-18326000,468373000,https://www.sec.gov/Archives/edgar/data/746515/000095017023005412/0000950170-23-005412-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023005412/expd-20221231.htm,EXPD
