ticker,company_name,fiscal_quarter,fiscal_year,calendar_date,debt_to_assets,book_to_market,earnings_yield,industry,sector
AAGPX,American Beacon Large Cap Value Fund Investor Class,Q1,2019,2018-10-31,0.0,3.553602741742123,0.029975020815986676,Asset Management,Financial Services
AAGPX,American Beacon Large Cap Value Fund Investor Class,Q2,2019,2019-01-31,0.0,3.586451170447302,0.03025210084033613,Asset Management,Financial Services
AAISX,American Beacon International Equity Fund Advisor Class,Q1,2019,2019-03-31,0.011443552049524889,2.6797031335305634,-0.027340513670256836,Asset Management,Financial Services
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,Q4,2018,2018-12-31,0.01196862068475349,2.288446444407368,0.05117085862966175,Asset Management - Income,Financial Services
ABCVX,American Beacon The London Company Income Equity Fund Investor Class,Q1,2019,2019-03-31,0.011443552049524889,2.4282294911196622,-0.024774774774774775,Asset Management - Income,Financial Services
ACEVX,American Century International Value Fund Investor Class,Q1,2019,2019-01-31,0.0,1.7206056418793274,0.05351170568561873,Asset Management,Financial Services
ADX,"Adams Diversified Equity Fund, Inc.",Q4,2017,2017-12-31,0.0,2.44557101110866,0.2701949860724234,Asset Management,Financial Services
ADX,"Adams Diversified Equity Fund, Inc.",Q2,2018,2018-06-30,0.0,2.428618105052132,0.05962059620596206,Asset Management,Financial Services
ADX,"Adams Diversified Equity Fund, Inc.",Q4,2018,2018-12-31,0.0,2.161548441585877,-0.14513788098693758,Asset Management,Financial Services
AFJAX,Virtus NFJ International Value Fund,Q2,2018,2018-05-31,0.13575462303207028,0.532191009663454,0.004428485936564931,Asset Management,Financial Services
AFJAX,Virtus NFJ International Value Fund,Q3,2018,2018-08-31,0.13575462303207028,0.5435765141489192,0.0045232273838630805,Asset Management,Financial Services
AFJAX,Virtus NFJ International Value Fund,Q1,2019,2019-02-28,0.03251325864295053,0.5829533175203322,-0.010752688172043012,Asset Management,Financial Services
ANTUX,Non-U.S. Intrinsic Value Fund Investor Class,Q1,2019,2019-01-31,0.0,1.4933558401216804,0.04644412191582003,Asset Management,Financial Services
APHKX,Artisan International Value Fund Institutional Class,Q4,2018,2018-12-31,0.2475683652706661,0.11204367449887163,0.023868312757201644,Asset Management,Financial Services
APHKX,Artisan International Value Fund Institutional Class,Q1,2019,2019-03-31,0.2198960849852732,0.06491745030815771,0.01704133430021755,Asset Management,Financial Services
ARGVX,One Choice 2060 Portfolio - Investor Class,Q1,2019,2019-03-31,0.33046374024792113,1.47131809606993,0.057672502574665295,,
ARGX,argenx SE,Q4,2017,2017-12-31,0.0,0.23636222139877325,-0.011294117647058823,Biotechnology,Healthcare
ARGX,argenx SE,Q2,2018,2018-06-30,0.0,0.1435063282999561,-0.007482500603427468,Biotechnology,Healthcare
ARGX,argenx SE,Q4,2018,2018-12-31,0.0,0.18601029754398948,-0.014052253565108776,Biotechnology,Healthcare
ARTHX,Artisan Global Equity Fund Investor Shares,Q1,2019,2019-03-31,0.0,1.4948209634448737,0.12384161752316765,Asset Management - Global,Financial Services
ATESX,Anchor Risk Managed Equity Strategies Fund - Institutional Class,Q2,2018,2018-07-31,0.0,1.330745333221785,0.0202020202020202,Asset Management,Financial Services
ATESX,Anchor Risk Managed Equity Strategies Fund - Institutional Class,Q3,2018,2018-10-31,0.0,1.3504488518230187,0.02050113895216401,Asset Management,Financial Services
ATESX,Anchor Risk Managed Equity Strategies Fund - Institutional Class,Q4,2018,2019-01-31,0.0,1.3666926341922805,0.0418552036199095,Asset Management,Financial Services
AWF,AllianceBernstein Global High Income Fund,Q2,2017,2017-09-30,0.04565567179570189,1.8896828161744796,0.08064516129032258,Asset Management - Income,Financial Services
AWF,AllianceBernstein Global High Income Fund,Q4,2017,2018-03-31,0.0,1.928688687543793,-0.011550497866287339,Asset Management - Income,Financial Services
AWF,AllianceBernstein Global High Income Fund,Q2,2018,2018-09-30,0.024224027660223125,1.855146175770501,0.016783216783216783,Asset Management - Income,Financial Services
AWF,AllianceBernstein Global High Income Fund,Q4,2018,2019-03-31,0.007430858258409032,1.7410520359980133,0.014784946236559139,Asset Management - Income,Financial Services
BBN,BlackRock Taxable Municipal Bond Trust,Q4,2017,2018-01-31,0.3587301050147385,1.6972923735195258,0.020923520923520924,Asset Management - Bonds,Financial Services
BBN,BlackRock Taxable Municipal Bond Trust,Q2,2018,2018-07-31,0.3548338044580239,1.6138654833099664,0.015416958654519973,Asset Management - Bonds,Financial Services
BBN,BlackRock Taxable Municipal Bond Trust,Q4,2018,2019-01-31,0.37051447306993107,1.541108028814854,0.02178352620830497,Asset Management - Bonds,Financial Services
BDJ,BlackRock Enhanced Equity Dividend Trust,Q4,2017,2017-12-31,0.0,2.0541914142776596,0.15670103092783508,Asset Management,Financial Services
