date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,ticker
2025-03-31,EXPD,USD,0000746515,2025-05-08,2025-05-08 11:38:01,2025,Q1,2666419000,2313559000,352860000,0.1323347906,0,0,8574000,8574000,78428000,87002000,2400561000,9184000,0,14604000,280462000,0.1051830189,265858000,0.0997060102,10023000,275881000,0.1034649843,71782000,203795000,0.0764302235,1.48,1.47,137833000,138435000,https://www.sec.gov/Archives/edgar/data/746515/000095017025066562/0000950170-25-066562-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017025066562/expd-20250331.htm,EXPD
2024-12-31,EXPD,USD,0000746515,2025-02-21,2025-02-21 14:40:47,2024,Q4,2954705000,2567135000,387570000,0.1311704553,0,0,10965000,10965000,75501000,86466000,2653601000,10007000,0,15176000,316280000,0.1070428351,301104000,0.1019066201,12179000,313283000,0.1060285206,77127000,235878000,0.0798313199,1.69,1.68,139357000,139992000,https://www.sec.gov/Archives/edgar/data/746515/000095017025024750/0000950170-25-024750-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017025024750/expd-20241231.htm,EXPD
2024-09-30,EXPD,USD,0000746515,2024-11-05,2024-11-05 16:18:13,2024,Q3,3000131000,2621070000,379061000,0.1263481495,0,0,7589000,7589000,69948000,77537000,2698607000,9917000,0,15774000,317298000,0.1057613818,301524000,0.1005036113,10890000,312414000,0.1041334528,82488000,229574000,0.0765213252,1.63,1.63,140417000,141027000,https://www.sec.gov/Archives/edgar/data/746515/000095017024121496/0000950170-24-121496-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024121496/expd-20240930.htm,EXPD
2024-06-30,EXPD,USD,0000746515,2024-08-08,2024-08-08 12:13:40,2024,Q2,2439001000,2140415000,298586000,0.122421434,0,0,7998000,7998000,66669000,74667000,2215082000,11904000,0,14979000,238898000,0.0979491193,223919000,0.0918076704,12002000,235921000,0.0967285376,60770000,175469000,0.0719429799,1.24,1.24,141013000,141716000,https://www.sec.gov/Archives/edgar/data/746515/000095017024093558/0000950170-24-093558-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024093558/expd-20240630.htm,EXPD
2024-03-31,EXPD,USD,0000746515,2024-05-09,2024-05-09 11:40:39,2024,Q1,2206678000,1922855000,283823000,0.1286200343,0,0,6779000,6779000,62268000,69047000,1991902000,14878000,0,15161000,229937000,0.1042005222,214776000,0.0973300137,18406000,233182000,0.1056710585,62782000,169152000,0.0766545912,1.18,1.17,143194000,144125000,https://www.sec.gov/Archives/edgar/data/746515/000095017024056466/0000950170-24-056466-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024056466/expd-20240331.htm,EXPD
2023-12-31,EXPD,USD,0000746515,2024-02-23,2024-02-23 16:18:45,2023,Q4,2277768000,2002729000,275039000,0.1207493476,0,0,9066000,9066000,66575000,75641000,2078370000,16728000,159000,21386000,237921000,0.1044535703,199398000,0.0875409612,16978000,216376000,0.0949947492,57231000,158719000,0.0696818113,1.09,1.09,144979000,145891000,https://www.sec.gov/Archives/edgar/data/746515/000095017024019394/0000950170-24-019394-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024019394/expd-20231231.htm,EXPD
2023-09-30,EXPD,USD,0000746515,2023-11-08,2023-11-08 16:21:03,2023,Q3,2190001000,1888610000,301391000,0.1376213983,0,0,6149000,6149000,79173000,85322000,1973932000,17156000,1601000,15607000,231676000,0.1057880795,216069000,0.0986615988,15822000,231891000,0.105886253,61048000,171353000,0.0782433433,1.16,1.16,147099000,148001000,https://www.sec.gov/Archives/edgar/data/746515/000095017023061159/0000950170-23-061159-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023061159/expd-20230930.htm,EXPD
2023-06-30,EXPD,USD,0000746515,2023-08-08,2023-08-08 16:18:16,2023,Q2,2239752000,1921452000,318300000,0.1421139483,0,0,6314000,6314000,63489000,69803000,1991255000,17792000,395000,15506000,264003000,0.1178715322,248497000,0.1109484443,17686000,266183000,0.1188448543,70390000,196800000,0.087866871,1.31,1.3,150435000,151563000,https://www.sec.gov/Archives/edgar/data/746515/000095017023039847/0000950170-23-039847-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023039847/expd-20230630.htm,EXPD
2023-03-31,EXPD,USD,0000746515,2023-05-04,2023-05-04 11:52:17,2023,Q1,2592589000,2241843000,350746000,0.1352879303,0,0,6384000,6384000,68393000,74777000,2316620000,18775000,0,15261000,291230000,0.1123317271,275969000,0.1064453332,24609000,300578000,0.1159373892,74580000,226011000,0.0871757922,1.47,1.45,154164000,155472000,https://www.sec.gov/Archives/edgar/data/746515/000095017023017600/0000950170-23-017600-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023017600/expd-20230331.htm,EXPD
2022-12-31,EXPD,USD,0000746515,2023-03-01,2023-03-01 12:48:18,2022,Q4,3441528000,3004662000,436866000,0.1269395455,0,0,8119000,8119000,99041000,107160000,3111822000,13107000,0,14922000,379425000,0.1102489941,329706000,0.0958022134,-8658000,321048000,0.0932864704,106311000,219276000,0.0637147221,1.39,1.38,157269000,158535000,https://www.sec.gov/Archives/edgar/data/746515/000095017023005412/0000950170-23-005412-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023005412/expd-20221231.htm,EXPD
2022-09-30,EXPD,USD,0000746515,2022-11-08,2022-11-08 16:24:29,2022,Q3,4362146000,3761516000,600630000,0.1376914024,0,0,6239000,6239000,67468000,73707000,3835223000,7835000,470000,15187000,550513000,0.1262023325,526923000,0.1207944438,7933000,534856000,0.1226130441,120694000,414209000,0.094955327,2.56,2.54,162029000,163250000,https://www.sec.gov/Archives/edgar/data/746515/000156459022037052/0001564590-22-037052-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459022037052/expd-10q_20220930.htm,EXPD
2022-06-30,EXPD,USD,0000746515,2022-08-04,2022-08-04 12:33:18,2022,Q2,4603312000,4015022000,588290000,0.1277971165,0,0,5887000,5887000,76421000,82308000,4097330000,2720000,58000,14254000,523120000,0.1136399184,505982000,0.1099169468,2826000,508808000,0.1105308526,126582000,377805000,0.0820724296,2.29,2.27,165092000,166474000,https://www.sec.gov/Archives/edgar/data/746515/000156459022027960/0001564590-22-027960-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459022027960/expd-10q_20220630.htm,EXPD
2022-03-31,EXPD,USD,0000746515,2022-05-09,2022-05-09 12:49:50,2022,Q1,4664298000,4118954000,545344000,0.1169187732,0,0,4048000,4048000,79536000,83584000,4202538000,1892000,503000,12975000,484657000,0.1039078121,461760000,0.0989988204,9419000,471179000,0.1010182025,121699000,346109000,0.0742038781,2.07,2.05,167499000,169216000,https://www.sec.gov/Archives/edgar/data/746515/000156459022018771/0001564590-22-018771-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459022018771/expd-10q_20220331.htm,EXPD
