quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,book_to_market,earnings_yield,mkt_cap_rank
2020Q3,A,Medical - Diagnostics & Research,Healthcare,0.26272784412319294,31089520000.0,97.79,0.16484038347810231,0.006544636465896308,302
2020Q4,A,Medical - Diagnostics & Research,Healthcare,0.2635296561753402,36257940000.0,115.0,0.1375776397515528,0.006260869565217391,328
2020Q2,AA,Aluminum,Basic Materials,0.13541353383458646,2089775711.0,10.8,1.8458826907119483,-0.09814814814814815,1447
2020Q3,AA,Aluminum,Basic Materials,0.17858398368839204,2162549212.0,11.18,1.6332949115511686,-0.023255813953488372,1534
2020Q4,AA,Aluminum,Basic Materials,0.17653390742734124,4287300000.0,22.15,0.7980676171387454,-0.0009029345372460497,1306
2020Q1,AAGPX,Asset Management,Financial Services,0.0,1442924999.0,9.77,4.105666858288583,-0.056294779938587516,166
2020Q2,AAGPX,Asset Management,Financial Services,0.0,1694550082.0,11.47,3.624432709307548,0.05231037489102005,1598
2020Q3,AAGPX,Asset Management,Financial Services,0.0,1774300417.0,11.94,3.481762410029948,0.05025125628140704,1668
2020Q4,AAGPX,Asset Management,Financial Services,0.0,1839831000.0,14.38,3.424904697351908,0.2899860917941585,1882
2020Q1,AAISX,Asset Management,Financial Services,0.008743674785531728,1064135407.0,8.95,4.2801868542728725,0.28715083798882685,215
2020Q2,AAISX,Asset Management,Financial Services,0.008356890251289727,1225513638.0,10.33,5.337876624169901,-0.2671829622458857,1832
2020Q3,AAISX,Asset Management,Financial Services,0.008353081849061085,1271680938.0,10.67,6.222132702884357,0.6719775070290535,1902
2020Q4,AAISX,Asset Management,Financial Services,0.008003785372841608,1392273633.0,12.87,5.896168530006115,-0.005811965811965813,2050
2020Q2,AAL,"Airlines, Airports & Air Services",Industrials,0.7285107833415965,6653270430.0,13.07,-0.5654377312644112,-0.36878347360367253,814
2020Q3,AAL,"Airlines, Airports & Air Services",Industrials,0.7705701495866057,7029683359.0,12.29,-0.8836017408686974,-0.3832384052074858,871
2020Q4,AAL,"Airlines, Airports & Air Services",Industrials,0.6615436717842859,10007783930.0,15.77,-0.7612923637083348,-0.2415979708306912,825
2020Q2,AAON,Construction,Industrials,0.0,1891309340.0,35.28,0.17556117841055627,0.006519274376417234,1512
2020Q3,AAON,Construction,Industrials,0.0,2098514100.0,39.15,0.11237929899785562,0.006641123882503193,1556
2020Q4,AAON,Construction,Industrials,0.0004498806257349535,2322875670.0,43.42,0.10312147530050166,0.005527406725011515,1718
2020Q3,AAP,Specialty Retail,Consumer Cyclical,0.44617295012474156,10586127500.0,138.24,0.3900124329447868,0.019892939814814815,699
