quarter,ticker,industry,sector,debt_to_assets,mkt_cap,stock_price,mkt_cap_rank
2024Q1,ACVA,Auto - Dealerships,Consumer Cyclical,0.15018398471452693,3025244783.0,18.77,46
2024Q2,ACVA,Auto - Dealerships,Consumer Cyclical,0.13982729334904292,2972735966.0,18.25,49
2024Q3,ACVA,Auto - Dealerships,Consumer Cyclical,0.11118061242148473,3341918344.0,20.33,48
2024Q4,ACVA,Auto - Dealerships,Consumer Cyclical,0.12498107502014431,3579620428.0,21.6,49
2024Q1,AM,Oil & Gas Midstream,Energy,0.5522247197499636,6747351820.0,13.06,33
2024Q2,AM,Oil & Gas Midstream,Energy,0.5517913782018148,7073681780.0,13.91,33
2024Q3,AM,Oil & Gas Midstream,Energy,0.5489728947939152,7240600150.0,14.42,33
2024Q4,AM,Oil & Gas Midstream,Energy,0.5409743709721425,7262635920.0,14.68,35
2024Q1,AMP,Asset Management,Financial Services,0.031796520066062026,45071632000.0,431.38,15
2024Q2,AMP,Asset Management,Financial Services,0.0332943795214246,43402504000.0,421.81,16
2024Q3,AMP,Asset Management,Financial Services,0.031542891557195016,46605152000.0,465.61,16
2024Q4,AMP,Asset Management,Financial Services,0.030164881506921055,52444354999.0,529.21,15
2024Q1,AOMR,REIT - Mortgage,Real Estate,0.721211569502943,266092253.0,9.23,73
2024Q2,AOMR,REIT - Mortgage,Real Estate,0.7921958544290922,325011275.0,11.55,75
2024Q3,AOMR,REIT - Mortgage,Real Estate,0.6082706199058452,243958002.0,9.45,74
2024Q4,AOMR,REIT - Mortgage,Real Estate,0.8012053208938883,217059469.0,8.69,81
2024Q1,ATEN,Software - Infrastructure,Technology,0.012637176551466164,1019234190.0,13.44,60
2024Q2,ATEN,Software - Infrastructure,Technology,0.0122718231487776,1029969100.0,13.65,64
2024Q3,ATEN,Software - Infrastructure,Technology,0.0119461332640093,1073845040.0,14.3,62
2024Q4,ATEN,Software - Infrastructure,Technology,0.027582223351778474,1358343200.0,18.29,66
2024Q1,AX,Banks - Regional,Financial Services,0.018566669491783306,3076607982.0,54.04,44
2024Q2,AX,Banks - Regional,Financial Services,0.02042012347472754,3253666657.0,57.15,46
2024Q3,AX,Banks - Regional,Financial Services,0.01712069081683446,3580286906.0,62.88,44
2024Q4,AX,Banks - Regional,Financial Services,0.017659308607354495,4065778787.0,69.85,45
2024Q1,BKH,Diversified Utilities,Utilities,0.454989820910021,3723720000.0,51.62,40
2024Q2,BKH,Diversified Utilities,Utilities,0.4758636939298442,3752220000.0,52.0,43
2024Q3,BKH,Diversified Utilities,Utilities,0.43897846419788655,4363968000.0,59.11,38
2024Q4,BKH,Diversified Utilities,Utilities,0.42211887499157497,4178328000.0,57.19,44
