date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,ticker
2025-06-16,12.1,12.1,12.1,12.1,12.1,0,0,0.0,0.0,12.1,"June 16, 25",0.0,AFTFX
2025-06-13,12.1,12.1,12.1,12.1,12.1,0,0,0.0,0.0,12.1,"June 13, 25",0.0,AFTFX
2025-06-12,12.12,12.12,12.12,12.12,12.12,0,0,0.0,0.0,12.12,"June 12, 25",0.0,AFTFX
2025-06-11,12.08,12.08,12.08,12.08,12.08,0,0,0.0,0.0,12.08,"June 11, 25",0.0,AFTFX
2025-06-10,12.07,12.07,12.07,12.07,12.07,0,0,0.0,0.0,12.07,"June 10, 25",0.0,AFTFX
2025-06-09,12.07,12.07,12.07,12.07,12.07,0,0,0.0,0.0,12.07,"June 09, 25",0.0,AFTFX
2025-06-06,12.06,12.06,12.06,12.06,12.06,0,0,0.0,0.0,12.06,"June 06, 25",0.0,AFTFX
2025-06-05,12.09,12.09,12.09,12.09,12.09,0,0,0.0,0.0,12.09,"June 05, 25",0.0,AFTFX
2025-06-04,12.08,12.08,12.08,12.08,12.08,0,0,0.0,0.0,12.08,"June 04, 25",0.0,AFTFX
2025-06-03,12.06,12.06,12.06,12.06,12.06,0,0,0.0,0.0,12.06,"June 03, 25",0.0,AFTFX
2025-06-02,12.06,12.06,12.06,12.06,12.06,0,0,0.0,0.0,12.06,"June 02, 25",0.0,AFTFX
2025-05-30,12.09,12.09,12.09,12.09,12.09,0,0,0.0,0.0,12.09,"May 30, 25",0.0,AFTFX
2025-05-29,12.1,12.1,12.1,12.1,12.07,0,0,0.0,0.0,12.1,"May 29, 25",0.0,AFTFX
2025-05-28,12.1,12.1,12.1,12.1,12.07,0,0,0.0,0.0,12.1,"May 28, 25",0.0,AFTFX
2025-05-27,12.1,12.1,12.1,12.1,12.07,0,0,0.0,0.0,12.1,"May 27, 25",0.0,AFTFX
2025-05-23,12.08,12.08,12.08,12.08,12.05,0,0,0.0,0.0,12.08,"May 23, 25",0.0,AFTFX
2025-05-22,12.06,12.06,12.06,12.06,12.03,0,0,0.0,0.0,12.06,"May 22, 25",0.0,AFTFX
2025-05-21,12.09,12.09,12.09,12.09,12.06,0,0,0.0,0.0,12.09,"May 21, 25",0.0,AFTFX
2025-05-20,12.13,12.13,12.13,12.13,12.1,0,0,0.0,0.0,12.13,"May 20, 25",0.0,AFTFX
2025-05-19,12.13,12.13,12.13,12.13,12.1,0,0,0.0,0.0,12.13,"May 19, 25",0.0,AFTFX
2025-05-16,12.15,12.15,12.15,12.15,12.12,0,0,0.0,0.0,12.15,"May 16, 25",0.0,AFTFX
2025-05-15,12.14,12.14,12.14,12.14,12.11,0,0,0.0,0.0,12.14,"May 15, 25",0.0,AFTFX
2025-05-14,12.12,12.12,12.12,12.12,12.09,0,0,0.0,0.0,12.12,"May 14, 25",0.0,AFTFX
2025-05-13,12.14,12.14,12.14,12.14,12.11,0,0,0.0,0.0,12.14,"May 13, 25",0.0,AFTFX
2025-05-12,12.14,12.14,12.14,12.14,12.11,0,0,0.0,0.0,12.14,"May 12, 25",0.0,AFTFX
2025-05-09,12.16,12.16,12.16,12.16,12.13,0,0,0.0,0.0,12.16,"May 09, 25",0.0,AFTFX
2025-05-08,12.16,12.16,12.16,12.16,12.13,0,0,0.0,0.0,12.16,"May 08, 25",0.0,AFTFX
2025-05-07,12.17,12.17,12.17,12.17,12.14,0,0,0.0,0.0,12.17,"May 07, 25",0.0,AFTFX
2025-05-06,12.15,12.15,12.15,12.15,12.12,0,0,0.0,0.0,12.15,"May 06, 25",0.0,AFTFX
2025-05-05,12.14,12.14,12.14,12.14,12.11,0,0,0.0,0.0,12.14,"May 05, 25",0.0,AFTFX
2025-05-02,12.15,12.15,12.15,12.15,12.12,0,0,0.0,0.0,12.15,"May 02, 25",0.0,AFTFX
2025-05-01,12.17,12.17,12.17,12.17,12.14,0,0,0.0,0.0,12.17,"May 01, 25",0.0,AFTFX
2025-04-30,12.16,12.16,12.16,12.16,12.13,0,0,0.0,0.0,12.16,"April 30, 25",0.0,AFTFX
2025-04-29,12.12,12.12,12.12,12.12,12.06,0,0,0.0,0.0,12.12,"April 29, 25",0.0,AFTFX
2025-04-28,12.11,12.11,12.11,12.11,12.05,0,0,0.0,0.0,12.11,"April 28, 25",0.0,AFTFX
2025-04-25,12.1,12.1,12.1,12.1,12.04,0,0,0.0,0.0,12.1,"April 25, 25",0.0,AFTFX
2025-04-24,12.07,12.07,12.07,12.07,12.01,0,0,0.0,0.0,12.07,"April 24, 25",0.0,AFTFX
2025-04-23,12.03,12.03,12.03,12.03,11.97,0,0,0.0,0.0,12.03,"April 23, 25",0.0,AFTFX
2025-04-22,11.98,11.98,11.98,11.98,11.92,0,0,0.0,0.0,11.98,"April 22, 25",0.0,AFTFX
2025-04-21,12.01,12.01,12.01,12.01,11.95,0,0,0.0,0.0,12.01,"April 21, 25",0.0,AFTFX
2025-04-17,12.09,12.09,12.09,12.09,12.03,0,0,0.0,0.0,12.09,"April 17, 25",0.0,AFTFX
