ticker,company_name,quarter_end_date,stock_price,market_cap,industry,sector,isETF,isFund,mkt_cap_rank
A,"Agilent Technologies, Inc.",2018-03-31,61.18,20746460000.0,Medical - Diagnostics & Research,Healthcare,False,False,395
A,"Agilent Technologies, Inc.",2018-06-30,58.72,19788800000.0,Medical - Diagnostics & Research,Healthcare,False,False,424
A,"Agilent Technologies, Inc.",2018-09-30,67.97,22731940000.0,Medical - Diagnostics & Research,Healthcare,False,False,391
A,"Agilent Technologies, Inc.",2018-12-31,64.5,21452279999.0,Medical - Diagnostics & Research,Healthcare,False,False,361
AA,Alcoa Corporation,2018-03-31,42.61,8264922082.0,Aluminum,Basic Materials,False,False,761
AA,Alcoa Corporation,2018-06-30,45.05,8738374993.0,Aluminum,Basic Materials,False,False,751
AA,Alcoa Corporation,2018-09-30,39.27,7572381134.0,Aluminum,Basic Materials,False,False,824
AA,Alcoa Corporation,2018-12-31,25.54,4917303083.0,Aluminum,Basic Materials,False,False,926
AAGPX,American Beacon Large Cap Value Fund Investor Class,2018-03-31,11.75,2445912000.0,Asset Management,Financial Services,False,True,1395
AAGPX,American Beacon Large Cap Value Fund Investor Class,2018-06-30,12.26,2552255905.0,Asset Management,Financial Services,False,True,1415
AAGPX,American Beacon Large Cap Value Fund Investor Class,2018-09-30,12.98,4091138856.0,Asset Management,Financial Services,False,True,1141
AAGPX,American Beacon Large Cap Value Fund Investor Class,2018-12-31,10.82,3079491000.0,Asset Management,Financial Services,False,True,1202
AAISX,American Beacon International Equity Fund Advisor Class,2018-03-31,12.54,1477354585.0,Asset Management,Financial Services,False,True,1737
AAISX,American Beacon International Equity Fund Advisor Class,2018-06-30,12.47,1468727697.0,Asset Management,Financial Services,False,True,1805
AAISX,American Beacon International Equity Fund Advisor Class,2018-09-30,12.52,1471248675.0,Asset Management,Financial Services,False,True,1854
AAISX,American Beacon International Equity Fund Advisor Class,2018-12-31,10.77,1265500930.0,Asset Management,Financial Services,False,True,1812
AAL,American Airlines Group Inc.,2018-03-31,48.61219,23074672740.0,"Airlines, Airports & Air Services",Industrials,False,False,365
AAL,American Airlines Group Inc.,2018-06-30,37.156166,17595712680.0,"Airlines, Airports & Air Services",Industrials,False,False,464
AAL,American Airlines Group Inc.,2018-09-30,38.87241,18243930290.0,"Airlines, Airports & Air Services",Industrials,False,False,465
AAL,American Airlines Group Inc.,2018-12-31,31.599047,14512146610.0,"Airlines, Airports & Air Services",Industrials,False,False,479
AAMI,Acadian Asset Management,2018-03-31,13.85,1633588000.0,Asset Management,Financial Services,False,False,1676
AAMI,Acadian Asset Management,2018-06-30,13.19,1545784000.0,Asset Management,Financial Services,False,False,1763
AAMI,Acadian Asset Management,2018-09-30,11.47,1298880000.0,Asset Management,Financial Services,False,False,1938
AAMI,Acadian Asset Management,2018-12-31,10.04,1127808000.0,Asset Management,Financial Services,False,False,1898
AAON,"AAON, Inc.",2018-03-31,23.68,1297547766.0,Construction,Industrials,False,False,1835
AAON,"AAON, Inc.",2018-06-30,21.3,1161349777.0,Construction,Industrials,False,False,1978
AAON,"AAON, Inc.",2018-09-30,23.39,1268300114.0,Construction,Industrials,False,False,1956
AAON,"AAON, Inc.",2018-12-31,22.55,1215056545.0,Construction,Industrials,False,False,1842
AAP,"Advance Auto Parts, Inc.",2018-03-31,99.92,8280469470.0,Specialty Retail,Consumer Cyclical,False,False,760
AAP,"Advance Auto Parts, Inc.",2018-06-30,121.19,10049127800.0,Specialty Retail,Consumer Cyclical,False,False,687
AAP,"Advance Auto Parts, Inc.",2018-09-30,151.52,12531404800.0,Specialty Retail,Consumer Cyclical,False,False,606
AAP,"Advance Auto Parts, Inc.",2018-12-31,140.73,11303581020.0,Specialty Retail,Consumer Cyclical,False,False,572
AAPL,Apple Inc.,2018-03-31,39.28,813759595560.0,Consumer Electronics,Technology,False,False,6
AAPL,Apple Inc.,2018-06-30,43.79,903786755040.0,Consumer Electronics,Technology,False,False,7
AAPL,Apple Inc.,2018-09-30,53.95,1076357169600.0,Consumer Electronics,Technology,False,False,7
AAPL,Apple Inc.,2018-12-31,37.57,737381440960.0,Consumer Electronics,Technology,False,False,7
AAT,"American Assets Trust, Inc.",2018-03-31,24.88,1577634880.0,REIT - Diversified,Real Estate,False,False,1696
AAT,"American Assets Trust, Inc.",2018-06-30,28.55,1797311502.0,REIT - Diversified,Real Estate,False,False,1652
AAT,"American Assets Trust, Inc.",2018-09-30,27.75,1735929074.0,REIT - Diversified,Real Estate,False,False,1733
