ticker,company_name,quarter_end_date,stock_price,market_cap,industry,sector,isETF,isFund,mkt_cap_rank
A,"Agilent Technologies, Inc.",2023-03-31,136.11,40948640000.0,Medical - Diagnostics & Research,Healthcare,False,False,314
A,"Agilent Technologies, Inc.",2023-06-30,118.73,35353500000.0,Medical - Diagnostics & Research,Healthcare,False,False,377
A,"Agilent Technologies, Inc.",2023-09-30,110.4,32651439999.0,Medical - Diagnostics & Research,Healthcare,False,False,387
A,"Agilent Technologies, Inc.",2023-12-31,137.78,40735790000.0,Medical - Diagnostics & Research,Healthcare,False,False,334
AA,Alcoa Corporation,2023-03-31,41.37,7575680000.0,Aluminum,Basic Materials,False,False,969
AA,Alcoa Corporation,2023-06-30,33.07,6039540000.0,Aluminum,Basic Materials,False,False,1125
AA,Alcoa Corporation,2023-09-30,28.41,5172680000.0,Aluminum,Basic Materials,False,False,1201
AA,Alcoa Corporation,2023-12-31,33.38,6067864740.0,Aluminum,Basic Materials,False,False,1176
AAGPX,American Beacon Large Cap Value Fund Investor Class,2023-03-31,17.29,3928731451.0,Asset Management,Financial Services,False,True,1407
AAGPX,American Beacon Large Cap Value Fund Investor Class,2023-06-30,18.07,4104840734.0,Asset Management,Financial Services,False,True,1392
AAGPX,American Beacon Large Cap Value Fund Investor Class,2023-09-30,17.77,4037394698.0,Asset Management,Financial Services,False,True,1379
AAGPX,American Beacon Large Cap Value Fund Investor Class,2023-12-31,19.58,4204136288.0,Asset Management,Financial Services,False,True,1433
AAISX,American Beacon International Equity Fund Advisor Class,2023-03-31,13.99,1506767654.0,Asset Management,Financial Services,False,True,2189
AAISX,American Beacon International Equity Fund Advisor Class,2023-06-30,14.47,1476527138.0,Asset Management,Financial Services,False,True,2229
AAISX,American Beacon International Equity Fund Advisor Class,2023-09-30,13.89,1434084132.0,Asset Management,Financial Services,False,True,2187
AAISX,American Beacon International Equity Fund Advisor Class,2023-12-31,15.22,1476317487.0,Asset Management,Financial Services,False,True,2270
AAL,American Airlines Group Inc.,2023-03-31,14.75,9640629500.0,"Airlines, Airports & Air Services",Industrials,False,False,854
AAL,American Airlines Group Inc.,2023-06-30,17.94,11734894860.0,"Airlines, Airports & Air Services",Industrials,False,False,767
AAL,American Airlines Group Inc.,2023-09-30,12.81,8379264390.0,"Airlines, Airports & Air Services",Industrials,False,False,916
AAL,American Airlines Group Inc.,2023-12-31,13.74,8995921500.0,"Airlines, Airports & Air Services",Industrials,False,False,928
AAON,"AAON, Inc.",2023-03-31,63.84,5249602224.0,Construction,Industrials,False,False,1204
